"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"2",-63000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-55000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",-47000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",-39000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-31000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-23000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-15000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-7000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",9000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",17000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",25000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",33000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",41000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",49000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",57000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",65000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",81000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",89000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",97000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",105000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",113000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",121000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",129000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",137000,1490000,3.87615821488805,5.35200143208372,2.38119036282828,-3.99800761736885,-4.18472579780994,-2.48219515736288,-2.15949444908638,-1.53656883685116,0.135980459831005,0.75524658505634,1.44359537899038,4.80069760845151
"28",145000,1490000,0,0,0,0,0,0,0,0,0,0,0,0
"29",153000,1490000,3.9773865249781,5.57273076401181,2.89337816947187,-3.2549397193348,-2.96539677640688,-1.40763289871995,-1.227128786869,-0.279203273450399,0.95640050096814,1.48078785612058,1.7455226117542,4.47978167108956
"30",161000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",169000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",177000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",185000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",193000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",201000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",209000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",217000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",225000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",233000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",241000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",249000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",257000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",265000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",273000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",281000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",289000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",297000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",305000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",313000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
